,quarters,ratings,title_senti,pnc_senti,work_duration,current_employee,recommend,ceo_approval,business_outlook,recommend_minus,ceo_minus,business_minus,ceo_same,business_same,recommend_plus,ceo_plus,business_plus,balance_life,balance_work,balance_work-life,balance_work/life,company_large,decision_making,environment_work,flexible_hour,great_place,hour_long,job_security,leadership_program,life_work,long_term,management_upper,n_n,none_none,people_smart,red_tape,short_term,earnings,pred_column
1,Q2,0.46159449502158056,0.6752620926763702,0.9425946376362345,0.4774405263862791,1,2,2,0,0.2676827816146702,0.48626373626373626,0.10392011834319528,0.6065258738388932,0.34188034188034183,0.5646287631399295,0.9246534848584379,0.3357723577235772,0.43514209133945975,0.4015072983384387,0.37777777777777777,0.21376313671539368,0.17634605694129502,0.14516459499850434,0.24962962962962967,0.13906249999999998,0.3910416666666667,0.36714285714285716,0.1260808270676692,0.01577380952380954,0.3205560392684453,0.03798534798534798,-0.01098765432098765,0.28665824915824917,0.11381870824782081,0.5083059210526316,0.016666666666666666,0.07857142857142857,3105,1.0
2,Q3,0.4259179145747424,0.7739279455800016,0.8978989656740798,0.0,1,2,2,1,0.47093365401837123,0.7808393952088967,0.35727908455181184,0.5675338120566024,0.9917355371900826,0.7621773486876129,0.7521860950942544,0.7159443660552307,0.40095598845598845,0.38657395382395376,0.43847619047619046,1.0,0.1369047619047619,0.25,0.2272470238095238,0.21503221971419317,0.4661591880341881,-0.1,0.6,0.2743121693121693,0.3118834776334776,-0.05,-0.034722222222222224,0.28665824915824917,-1.0,0.3305860805860806,0.0625,0.10775406908870451,3491,1.0
3,Q4,0.26670405799154195,0.8279780591064893,0.3475289838871948,0.37347144988876746,1,2,2,1,0.42139125386996906,0.9473646313364056,0.44328425480769235,0.27703235610957216,1.0,0.8704396083428343,0.9461864859094792,0.6453125,0.09787698412698412,0.09787698412698412,0.34067439253500764,0.21376313671539368,0.17985714285714288,0.14516459499850434,0.19196969696969698,0.20191798941798944,0.5558154761904762,0.09803439153439153,0.1247053872053872,0.278125,0.08351388888888889,0.1625,0.16169871794871793,0.28665824915824917,-0.10999999999999996,0.43959595959595965,0.1643685406916227,0.10775406908870451,4011,1.0
4,Q5,0.5886327528198222,0.8337912561826497,0.7803005381581221,0.276686397728889,1,2,2,2,0.20176992800925064,0.49054744322913774,0.2115963855421687,0.4824579944895,0.8674698795180723,1.0,0.9341413476279156,0.849544519541581,0.6475,0.4931522108843537,0.15943877551020408,0.04702380952380952,0.21445578231292514,0.14516459499850434,0.22944948107448107,0.14583333333333334,0.44782312925170065,0.25055555555555553,0.19165513951726357,0.2271825396825397,0.5331597222222222,0.48333333333333334,-0.009259259259259264,0.28665824915824917,0.11381870824782081,0.30316326530612236,0.18998316498316498,0.0,3527,0.0
5,Q6,0.3489927868534422,0.8953064188914814,0.5906671066494635,0.3588469370574764,1,2,2,1,0.521317325644601,0.6050058043409434,0.4331327069876688,0.7797137815746008,0.9160305343511451,0.6779062129960925,0.6015410590543739,0.676671010984919,-0.09285714285714285,0.17142857142857146,0.37837301587301586,0.18999999999999995,0.16715873015873017,0.0,0.4356770833333333,-0.025,0.5702702191987906,0.07309523809523812,0.19165513951726357,0.31770833333333337,0.13636363636363635,-0.2547619047619048,0.0,0.28665824915824917,0.11381870824782081,0.44761904761904764,0.2316635745207174,0.10775406908870451,3133,0.0
6,Q7,0.6337338700027109,0.7909888786008481,0.7736820614627791,0.5285332890454226,1,2,2,2,0.2909499108113096,0.23137607959227272,0.5546994396332144,0.6747221254018049,0.8300220750551875,0.8743240800493525,0.7668942037427682,0.6537554514617994,0.2955371900826446,0.2953535353535353,0.22924242424242425,0.7,0.16947789115646258,0.13009259259259257,0.15020833333333333,0.22857142857142856,0.6866666666666668,-0.020833333333333332,0.4838095238095238,0.21416666666666664,0.27090909090909093,0.028571428571428564,0.09716029881871718,0.28665824915824917,0.1820408163265306,0.3003787878787879,0.12274305555555555,0.05104166666666666,3191,1.0
7,Q8,0.3224210938944162,0.49810752321368085,0.6294644393313293,0.2634103736130116,1,2,2,2,0.516083328960487,1.0,0.4121577574967406,0.6586781156479264,0.8286252354048965,0.6638749613052513,0.6020929525684262,0.6943089430894308,0.12892405459554218,0.12892405459554218,0.34067439253500764,0.10740740740740741,0.13021825396825398,-0.025,0.4232312925170068,0.7,0.5155555555555557,0.21249999999999997,0.3055555555555555,0.150041650268923,0.1848470500459137,0.2263888888888889,0.24380952380952378,0.28665824915824917,0.11499999999999999,0.3732142857142857,0.0482579365079365,0.10775406908870451,3206,1.0
8,Q9,0.4087218688059909,0.9641060825854173,0.7014666700919169,0.2944818991647413,1,2,2,2,0.3139453493067708,0.3162191945501903,0.27019230769230773,0.5783425000334551,0.8927536231884058,0.6239163967074207,0.8262169086251068,0.7795758218451749,0.35748602426380205,0.33970824648602427,0.5,0.1525,0.1600426194176194,-0.10000000000000002,-0.013436871770205113,0.125,0.5000000000000001,0.10492091929591929,0.10972222222222222,0.4916666666666667,0.28823151392992663,0.2128747795414462,0.26726190476190476,0.28665824915824917,0.20000000000000007,0.3556845238095238,0.09958152958152959,0.1442857142857143,2999,0.0
9,Q10,0.5484120220031788,1.0,0.8134753093115445,0.21436175552502434,1,2,2,2,0.2797618282954151,0.49695967263896584,0.31391637408234924,0.4909368857829221,0.8409405255878285,0.9134374327788863,0.82090705181584,0.8025098674223256,0.44780158730158726,0.4121675170068027,0.4049107142857143,-0.025793650793650785,0.19131349206349207,0.07115384615384612,0.2868309294871795,-0.08888888888888889,0.44543209876543205,0.06734906462585034,0.19165513951726357,0.19322796416546417,0.41359746031746025,0.10192708333333332,0.14375,0.28665824915824917,0.16828703703703704,0.24923314780457637,0.29732142857142857,0.08,3545,1.0
10,Q11,0.5223892677201996,0.8577753385279425,0.7791674429415745,0.20488632044721738,1,2,2,2,0.26409774436090233,0.6344086021505376,0.3216575091575092,0.47465520526462357,0.6984126984126985,0.6563003982358823,0.7246553617177016,0.8234417344173441,0.19769095102428436,0.16629622460872462,0.0407617845117845,0.1279761904761905,0.16171428571428573,0.36527777777777776,0.1987099358974359,0.0875,0.4798773448773449,0.024842592592592593,0.18939393939393936,0.8,0.21855204517704518,0.06111111111111112,-0.05,0.28665824915824917,0.11381870824782081,0.32544217687074833,0.29027777777777775,0.1285714285714286,3537,0.0
