,quarters,ratings,title_senti,pnc_senti,work_duration,current_employee,recommend,ceo_approval,business_outlook,recommend_minus,ceo_minus,business_minus,ceo_same,business_same,recommend_plus,ceo_plus,business_plus,*_*,authentic_self,balance_life,balance_work,balance_work-life,balance_work/life,benefit_great,care_take,career_growth,culture_open,fast_pace,food_free,great_perk,internal_tool,life_work,menlo_park,none_none,people_smart,performance_review,place_work,earnings,pred_column
1,Q2,0.8391608391608392,0.65448270294272,0.7064170387048118,0.9312455971789161,1,2,2,2,0.5,0.0,0.0,0.0,0.0,0.7115732368896925,1.0,0.6233766233766234,0.2015527771247132,0.43177637721755374,0.2129802870042639,0.19777772164139176,0.22060221403151786,0.13094066272283636,0.4895418000916949,0.25247864190521213,0.27679968975131825,0.21237858967616166,0.23033650393328325,0.35791366074675407,0.5875,0.18061526942983555,0.26666666666666666,0.1394447312816674,0.27711340388007055,0.28373782928405905,0.17404958540472254,0.0625,-0.157,0.0
2,Q3,0.8318637883855277,0.40654446724080767,0.6064472676767082,0.22902937026015555,1,2,2,2,0.15217391304347827,0.30434782608695654,0.22705314009661834,0.0,0.2848575712143928,0.9122179416620804,0.9250293772032903,0.9486166007905138,0.2777777777777778,0.43177637721755374,0.08611111111111111,0.014930555555555548,0.22060221403151786,0.13094066272283636,0.5437500000000001,0.25247864190521213,0.3666666666666667,0.21237858967616166,0.2,0.308452380952381,0.5548571428571428,0.18061526942983555,-0.02777777777777779,0.1394447312816674,0.27711340388007055,0.3419285714285714,0.3520833333333333,0.634765625,-0.59,0.0
3,Q4,1.0,0.7778327211076577,0.15851262421914736,0.4019995330120587,1,2,2,2,0.2916666666666667,0.0,0.0,0.16666666666666666,0.1364942528735632,0.747626582278481,0.8563063063063061,1.0,0.2015527771247132,0.43177637721755374,0.52,0.52,0.22060221403151786,-0.0625,0.36175595238095243,0.25247864190521213,0.27679968975131825,0.2,0.05,0.20729166666666668,0.36175595238095243,0.18061526942983555,0.52,0.1394447312816674,0.27711340388007055,0.2835337301587302,0.17404958540472254,0.55,0.64,1.0
4,Q5,0.0,0.45684818148791034,0.12267882144187452,0.5375179097942429,1,2,2,2,1.0,1.0,0.746031746031746,0.0,0.46798029556650245,0.42314647377938525,0.7536679536679535,0.7792207792207793,0.2015527771247132,0.43177637721755374,0.2129802870042639,0.19777772164139176,0.22060221403151786,0.13094066272283636,0.4895418000916949,0.25247864190521213,0.27679968975131825,0.21237858967616166,0.23033650393328325,0.35791366074675407,0.524689364045044,0.18061526942983555,0.65,0.1394447312816674,0.27711340388007055,0.28373782928405905,0.17404958540472254,0.6083333333333334,0.219,0.0
5,Q6,0.16783216783216784,0.46199491381746266,0.6562868482910095,0.15050501474238795,1,2,2,2,0.0,0.0,0.0,1.0,0.8189655172413793,1.0,0.1378378378378378,0.8181818181818182,0.2015527771247132,0.43177637721755374,0.2129802870042639,0.19777772164139176,0.22060221403151786,0.13094066272283636,0.4895418000916949,0.25247864190521213,0.27679968975131825,0.21237858967616166,0.23033650393328325,0.35791366074675407,0.524689364045044,0.18061526942983555,0.22663028797919035,0.1394447312816674,0.27711340388007055,0.28373782928405905,0.17404958540472254,0.42906049826515197,0.333,1.0
6,Q7,0.3814367450731086,0.9041460094017318,0.5577481103665063,0.945501260545577,1,2,2,2,0.31818181818181823,0.6363636363636365,0.0,0.36363636363636365,0.8934169278996864,0.8164556962025316,0.5297297297297296,0.6942148760330579,0.2015527771247132,0.43177637721755374,0.2129802870042639,0.19777772164139176,0.0,0.13094066272283636,0.4895418000916949,0.25247864190521213,0.27679968975131825,0.21237858967616166,0.21628787878787878,0.5231250000000001,0.524689364045044,0.21628787878787878,0.22663028797919035,0.1394447312816674,0.27711340388007055,0.2,0.17404958540472254,0.42906049826515197,0.425,1.0
7,Q8,0.5388295914611707,0.7650020077036334,0.5319287969837884,0.24556081352705417,1,2,2,2,0.5526315789473685,0.3684210526315789,0.27485380116959063,0.0,0.17241379310344826,0.6812125249833444,0.9092460881934563,0.9186602870813397,0.2015527771247132,0.43177637721755374,0.2129802870042639,0.19777772164139176,0.22060221403151786,0.0,0.5375000000000001,0.25247864190521213,0.27679968975131825,0.21237858967616166,0.23033650393328325,0.5333333333333333,0.6180194805194805,0.18061526942983555,-0.25,0.17207792207792205,0.27711340388007055,0.28373782928405905,0.17404958540472254,0.75,0.523,1.0
8,Q9,0.8205128205128206,0.3395026843741171,0.07316752226774904,0.0,0,2,2,2,0.3888888888888889,0.0,0.0,0.1111111111111111,0.5459770114942528,0.7756680731364275,0.8084084084084082,0.7272727272727273,0.2015527771247132,0.43177637721755374,0.30000000000000004,0.30000000000000004,0.22060221403151786,0.13094066272283636,0.4895418000916949,0.05,0.27679968975131825,0.19305555555555554,0.5666666666666667,0.3428571428571429,0.2709406565656566,0.45,0.55,0.1394447312816674,0.27711340388007055,0.2125715488215488,0.17404958540472254,0.4965277777777778,0.642,1.0
9,Q10,0.08391608391608366,0.47331772494247815,0.2207111938066424,0.6020200589695519,1,2,2,2,0.5,0.5,0.373015873015873,0.2857142857142857,0.9359605911330049,0.5673598553345389,0.3841698841698842,0.5454545454545455,0.2015527771247132,0.43177637721755374,-0.52,-0.52,0.22060221403151786,0.10208333333333332,0.4895418000916949,0.625,0.27679968975131825,0.21237858967616166,0.22600000000000003,0.35791366074675407,0.5800000000000001,0.18061526942983555,-0.52,0.1394447312816674,0.27711340388007055,0.28373782928405905,0.17404958540472254,0.56,0.791,1.0
10,Q11,0.7861612072138389,0.6011733912345146,0.5877462721579872,0.6257840086657186,1,2,2,2,0.18421052631578946,0.0,0.0,0.10526315789473684,0.689655172413793,0.6812125249833444,0.7277382645803697,0.7464114832535885,0.2015527771247132,0.43177637721755374,-0.125,-0.125,0.8,0.13094066272283636,0.4382936507936508,0.21666666666666667,0.27679968975131825,0.34833333333333333,0.23033650393328325,0.4000000000000001,0.8,0.18061526942983555,-0.125,0.09999999999999999,0.27711340388007055,0.28373782928405905,0.17404958540472254,0.4000000000000001,0.806,1.0
