,quarters,ratings,title_senti,pnc_senti,work_duration,current_employee,recommend,ceo_approval,business_outlook,recommend_minus,ceo_minus,business_minus,ceo_same,business_same,recommend_plus,ceo_plus,business_plus,*_*,balance_life,balance_work/life,card_credit,care_take,co_worker,customer_service,depot_home,flexible_hour,flexible_schedule,full_time,hour_week,minimum_wage,none_none,part_time,place_work,profit_sharing,reimbursement_tuition,share_success,sharing_success,earnings,pred_column
1,Q2,0.34727395859951943,0.8414320126351613,1.0,0.4909443682305661,1,2,2,0,0.5497482791578273,0.7848026633922809,0.21026508742244782,0.4753026161655603,0.36761955650547684,0.5068431294138808,0.8005319812656903,0.2245980205881519,0.14777522812460245,0.06944444444444445,0.2739506172839506,0.0593007047359726,0.09880952380952383,0.3186114567203568,0.13747222222222222,0.2856681718664477,0.11666666666666668,0.3,0.23452380952380952,0.05184731934731934,0.30540123456790125,0.18292224026384532,0.2485246598639456,0.37888374485596704,0.19871894280703445,0.08333333333333333,-0.08645833333333333,0.333984375,1.035,1.0
2,Q3,0.11260330633696596,0.5375753071607562,0.20650750770658732,0.9065574951169236,1,2,2,1,0.6503578277050639,1.0,0.5418604651162792,0.12259615384615384,1.0,0.5938253315684748,0.6980517812157564,0.5495647654930492,0.14777522812460245,0.07266666666666666,0.5,-0.14583333333333334,0.12379100529100528,0.3186114567203568,0.3963864838864839,0.06963541666666666,0.55,0.1878472222222222,0.21287037037037035,-0.028367337395115173,-0.16666666666666666,0.2333333333333333,0.1778401575276575,0.27558333333333335,0.14137205387205387,0.20531505365840977,0.14137205387205387,0.14137205387205387,1.532,1.0
3,Q4,0.1194442729779411,0.5042942128762101,0.3495751086086019,0.7757823291609316,1,2,2,2,0.7842413595949719,0.25875131526023654,0.5010752688172043,0.7332506203473947,0.8030560271646859,0.700691852194108,0.769747662568849,0.8044692737430168,0.15583333333333332,0.09517006802721088,0.2064625850340136,-0.22187500000000002,-0.03125000000000001,0.3186114567203568,0.2853414351851852,0.07290482954545455,0.007916666666666669,0.06958333333333333,0.21495032166907166,0.13137345679012347,0.12238150498384574,0.18292224026384532,0.052770833333333336,0.35833333333333334,0.19871894280703445,0.20531505365840977,-0.16666666666666663,0.1549107142857143,0.947,0.0
4,Q5,0.2238425148533276,0.4946343784505385,0.6158003196304784,1.0,1,2,2,2,0.6437901025198941,0.5231749944510452,0.5963932518906341,0.45881997583568274,0.675392670157068,0.7956832431131016,0.8168441607983173,0.905554418087689,0.16666666666666666,0.0,0.38085789871504155,0.0593007047359726,0.171875,0.43333333333333335,0.05104166666666666,0.1828437950937951,0.35833333333333334,0.17406462585034016,0.2298845238095238,0.05566622324434824,0.12238150498384574,0.32499999999999996,-0.066984126984127,0.15925925925925927,0.7,0.06666666666666667,0.08412698412698412,0.12604166666666666,1.021,1.0
5,Q6,0.0757276962497815,0.4883404850997715,0.41507160804591653,0.9014180247285862,1,2,2,2,0.598118963314412,0.4263709354065816,0.27073347857661584,0.6351809954751133,0.783969728242174,0.9839471408616217,0.6761057550494466,0.8412750575090372,0.14777522812460245,0.0,0.13718663979105444,-0.2583333333333333,0.08749999999999998,0.5,0.4333333333333334,0.22825319521748091,0.2624458874458874,0.0,0.0981859410430839,-0.016105248917748907,0.3958333333333333,-0.065,0.16716269841269843,0.13912037037037037,0.07553449951409134,0.20531505365840977,0.06000000000000001,0.2833333333333333,1.226,1.0
6,Q7,0.09937255980317218,0.41491219507303806,0.0,0.6968890080737246,1,2,2,2,0.8892979249179107,0.6376591853699086,0.7425495262704566,0.6634615384615384,0.7280701754385965,0.40343095574119714,0.6371722190891314,0.8107054696635052,0.2966534391534391,0.08666666666666667,0.5599999999999999,0.0,-0.04375000000000001,0.25,0.2743616287094548,0.07601704879482657,0.4574999999999999,0.3552248677248677,0.1825705128205128,0.25603655603655606,0.06861471861471861,0.2,0.0709529611802339,0.44260311447811446,-0.024365079365079388,0.14019710448281877,0.016666666666666663,0.19444444444444445,1.795,1.0
7,Q8,0.0,0.279331066690266,0.14252587747107534,0.6050706006653622,1,2,2,2,1.0,0.7807293782710606,1.0,0.9556371739848135,0.7284843008809577,0.37748665774756596,0.5543647592140255,0.7336897882849401,0.16770833333333335,0.225,0.5249999999999999,-1.3877787807814457e-17,0.37777777777777777,0.43027973184223184,0.2531721611721612,0.16554989550679206,-0.042272727272727274,0.22160844556677892,0.23590277777777777,0.02187499999999999,0.058958333333333335,0.016666666666666673,0.19964973812196032,0.36302083333333335,0.1528030303030303,0.20531505365840977,-0.10572390572390569,0.10530303030303029,1.351,0.0
8,Q9,0.15472568305679907,0.6193231206429693,0.4280915157383949,0.8166690950906814,1,2,2,2,0.6817768989294805,0.42119584156491896,0.622005772005772,0.6845342157842159,0.7494873547505126,0.5423632153749006,0.6290833262191602,0.7770441848654139,0.2673611111111111,0.2375,-0.20208333333333334,-0.06111111111111111,0.10386111111111111,0.41575126262626266,0.23538400673400672,0.17225190769682294,0.16631493506493508,0.10348011363636363,0.24630180776014107,0.0354563492063492,0.1350108225108225,0.2,0.22413371350871353,0.30233360389610386,0.15104166666666669,0.20531505365840977,0.23611111111111113,0.33888888888888885,1.013,0.0
9,Q10,0.06388938122394608,0.5280159580776286,0.4341445327177904,0.8321589648198753,1,2,2,1,0.6815806723408603,0.4491413483098976,0.7541861188920014,0.8262766645119589,0.7860828541943092,0.582625662402164,0.5926242783474768,0.6816581381155814,0.14777522812460245,0.03785612535612536,-0.22518939393939394,-0.02857142857142855,0.16964285714285715,0.2092857142857143,0.17996913580246915,0.14977504638218925,0.13704545454545455,0.05981481481481482,0.239437037037037,-0.001858379715522575,0.03319128787878788,0.39285714285714285,0.17831571293290044,0.22066084956709955,-0.16424242424242425,0.03611111111111111,0.11432291666666666,0.3921875,1.379,1.0
10,Q11,0.09468768007814148,0.5892371155684848,0.726878382122587,0.6226737008131799,1,2,2,1,0.7086632958711048,0.5326328622887226,0.6490661601772714,1.0,0.7995201679412205,0.19879768428581088,0.41206593545984804,0.5615241369431313,0.14777522812460245,0.20517857142857143,-0.06678571428571428,0.0,0.30666666666666664,0.3062962962962963,0.2280925247591914,0.1807029132791328,0.14722222222222223,0.17828703703703702,0.2530768999518999,0.006845238095238091,0.2819534632034632,0.0953258547008547,0.21600203566274995,0.2805435999185999,0.05625,0.22916666666666666,0.1361111111111111,0.1465138888888889,2.05,1.0
11,Q12,0.20987629488388837,0.603100026872741,0.6425119335185586,0.5510939755809998,1,2,2,2,0.6659316018984013,0.4036005225032656,0.6472222222222223,0.42779876373626374,0.6870300751879699,0.5041529804533953,0.5185908741776555,0.7661612130885873,0.2791666666666667,0.41363636363636364,-0.35000000000000003,0.15,0.1976296768707483,0.4575,0.05929761904761904,0.232382582438138,0.13942460317460317,0.21598072562358278,0.3432986111111111,0.31302910052910055,0.23803030303030304,0.175,0.24218711843711843,0.4056370464852607,1.0,-0.06571969696969697,0.17333333333333334,0.17261904761904762,1.537,0.0
12,Q13,0.1396673224843831,0.5688113383533007,0.49805585286582926,0.46751870793289085,1,2,0,2,0.8290933676725776,0.6410989121083753,0.8704997573993208,0.6118155861605645,0.667088025741209,0.5090208497589448,0.09835639681425087,0.8299382791344442,-0.125,0.4376543209876543,-0.3125,-0.003124999999999989,0.13567460317460317,0.44309895833333335,0.19219337606837605,0.11218890291806957,0.19236199294532627,0.18185258194186765,0.21831022927689595,0.004943310657596365,0.13735175318508652,0.2375,0.1868984105988074,0.25298295454545455,0.007500000000000016,0.026388888888888885,-0.2,0.15288888888888888,1.379,0.0
13,Q14,0.12703608206126363,0.10738328906607066,0.21998630412224404,0.48626071509651075,1,2,0,2,0.7330637647715315,0.3782925450119131,0.7693577678718838,0.6651760201165848,0.5279580824274654,0.19853775114549752,0.0,0.8008832294321265,0.03602430555555555,0.2467075892857143,0.1872747564935065,0.071875,0.14131944444444447,0.7666666666666666,0.256722481962482,0.20472375267829815,0.24928270803270802,0.269831073633157,0.2377197254499886,0.22491987179487177,0.022276601998824228,0.39375,0.17514594642570833,0.2892066798941799,0.19101190476190477,0.5166666666666667,0.23741666666666666,0.27440476190476193,1.579,1.0
14,Q15,0.1513349607646816,0.12001320893907208,0.49062856150553774,0.37656142422129185,1,2,0,2,0.7215414356800417,0.431005621218761,0.7200449501334458,0.8379607118545173,0.6036995142724068,0.3943444984877461,0.08065380618406832,0.7551434080331099,0.05,0.3136764470097803,0.39668367346938777,0.15313819513819513,0.14224264705882353,0.24767203282828285,0.2417373136123136,0.19343554593554593,0.3088573089168327,0.16352941176470587,0.22340508675254436,0.03552910052910052,0.20712720315398886,0.19024691358024692,0.3279145619337927,0.4377938034188034,0.23777472527472526,0.35000000000000003,0.35833333333333334,0.12135912698412697,2.234,1.0
15,Q16,0.26621207738946884,0.051412263854074665,0.5540775466888319,0.41599164450424947,1,2,0,2,0.5015370059115953,0.22009778322360196,0.6449826989619377,0.2846686185786532,0.4032963030413404,0.41619528457044797,0.1572332062953109,0.8838027488353212,0.14777522812460245,0.2236842105263158,0.3,0.16645021645021643,0.15207142857142858,0.35684640522875816,0.2393700396825397,0.1735118489602185,0.078488455988456,-0.051267361111111104,0.26715900072150073,0.17684722222222224,-0.03409090909090909,0.2,0.1479470486111111,0.42951988487702775,0.3716931216931217,0.12652116402116403,0.24423076923076925,0.336,1.725,0.0
